Customer_ID,Age,Income_Level,Number_of_Subscriptions,Avg_Usage_Hours_Per_Week,App_Switch_Frequency,Discount_Used,Customer_Support_Interactions,Payment_Mode,Tenure_Months,Device_Type,Satisfaction_Score,Monthly_Total_Spend,Will_Cancel_Next_3_Months
5035,63,Medium,9,10.0,6,0,9,Debit Card,18,iOS,9,841.54,0
5036,65,Low,11,12.1,7,1,7,Credit Card,18,Android,8,510.12,0
5037,23,Medium,7,8.8,8,1,8,UPI,1,iOS,3,527.47,1
5038,42,Medium,7,7.4,6,0,4,Debit Card,27,iOS,7,703.44,0
5039,63,Low,1,6.9,5,1,4,Debit Card,8,Android,2,207.13,0
5040,57,Medium,11,7.3,4,1,6,UPI,28,Android,5,792.84,0
5041,46,Low,11,7.5,9,1,3,Credit Card,38,Android,7,575.57,0
5042,24,Medium,6,2.3,1,0,2,UPI,2,Android,6,573.32,0
5043,57,Medium,5,6.1,14,0,2,Debit Card,22,Android,6,596.08,0
5044,30,Low,8,4.7,7,0,8,Debit Card,20,Android,2,311.27,1
5045,55,High,8,1.9,4,1,9,UPI,14,iOS,8,1000.24,1
5046,35,Medium,11,8.5,9,0,0,Wallet,35,Android,10,1012.88,0
5047,19,High,4,9.3,1,0,8,UPI,31,iOS,3,759.58,0
5048,25,Low,1,5.4,2,0,7,Debit Card,41,Android,2,306.84,0
5049,28,High,6,7.2,9,0,0,Debit Card,3,iOS,1,777.89,0
5050,50,Low,10,9.7,9,0,7,UPI,8,Android,5,686.9,1
5051,55,Medium,1,7.1,11,0,3,Debit Card,26,Web,1,78.48,0
5052,65,High,5,7.6,14,0,5,Debit Card,24,Android,4,664.43,0
5053,44,Low,5,7.3,14,1,7,Wallet,15,iOS,8,372.97,0
5054,37,Low,3,9.8,6,0,0,Wallet,37,Web,9,268.02,0
5055,29,Medium,5,7.9,9,0,3,UPI,38,iOS,6,526.11,0
5056,60,Medium,6,7.0,7,1,1,UPI,15,iOS,3,583.78,0
5057,48,Medium,5,6.6,4,0,0,Debit Card,44,Android,4,494.93,0
5058,44,Low,1,5.5,9,0,3,Debit Card,35,Android,9,246.98,0
5059,49,Medium,12,9.8,7,1,2,Wallet,38,Android,9,1001.47,0
5060,27,Low,12,9.7,12,0,8,Wallet,17,Android,2,549.25,1
5061,20,High,7,8.0,13,1,0,Credit Card,31,iOS,1,940.99,1
5062,62,Medium,3,10.8,9,1,5,Credit Card,2,Android,7,255.49,0
5063,44,Medium,7,8.0,12,0,3,Credit Card,5,Android,5,729.82,0
5064,52,Low,5,9.0,9,0,3,UPI,2,Android,9,432.21,0
5065,48,High,12,6.3,5,1,2,Debit Card,2,Android,6,1350.56,0
5066,32,Medium,3,11.6,1,0,1,UPI,26,Android,8,450.97,0
5067,33,High,11,8.5,11,1,3,Wallet,38,Web,7,1364.84,0
5068,30,Low,6,9.2,13,1,6,Credit Card,37,iOS,1,394.73,1
5069,52,Medium,1,8.2,11,0,6,Credit Card,10,iOS,7,279.91,0
5070,28,Medium,6,8.3,1,0,0,UPI,27,Android,3,646.53,0
5071,38,Low,4,8.8,7,0,9,Debit Card,8,iOS,8,341.84,0
5072,28,Medium,4,1.8,3,0,2,Credit Card,10,iOS,10,265.05,0
5073,47,Low,5,9.3,7,0,3,UPI,35,Android,6,486.98,0
5074,65,Medium,9,5.9,8,0,2,Debit Card,24,iOS,10,631.18,0
5075,52,Medium,1,7.3,5,0,5,Wallet,24,iOS,5,147.32,0
5076,39,Medium,3,6.0,8,0,6,Debit Card,31,Android,2,406.23,1
5077,55,Medium,11,10.5,5,0,3,Credit Card,4,iOS,3,914.84,0
5078,48,Medium,4,5.6,10,0,6,Wallet,40,Android,1,427.86,1
5079,31,Low,2,7.1,13,0,5,Debit Card,14,Android,5,220.8,0
5080,41,Medium,9,6.1,2,0,0,Debit Card,36,iOS,4,876.24,0
5081,49,High,11,5.8,7,1,0,Credit Card,26,iOS,5,1294.16,0
5082,53,Low,7,5.8,0,1,3,UPI,12,Android,8,522.18,0
5083,49,Low,1,4.3,5,0,6,UPI,27,iOS,2,364.97,1
5084,32,Medium,9,6.3,14,0,3,Credit Card,6,iOS,7,735.58,0
5085,60,Medium,6,8.6,14,1,6,Debit Card,27,iOS,10,353.69,0
5086,52,Medium,2,5.3,2,1,5,Credit Card,14,Android,8,501.91,0
5087,20,Medium,1,8.4,9,1,3,Debit Card,44,iOS,7,305.19,0
5088,33,Low,6,9.6,9,0,9,Credit Card,22,iOS,7,375.43,0
5089,22,High,7,7.6,2,0,7,Credit Card,20,iOS,1,891.0,1
5090,38,Medium,10,4.4,8,0,0,UPI,3,Android,10,790.65,1
5091,27,Low,6,2.7,6,0,6,Credit Card,9,Android,4,293.02,1
5092,36,Low,7,10.4,12,0,0,UPI,16,Android,8,502.03,0
5093,42,Medium,6,12.6,13,0,5,Credit Card,42,iOS,4,713.82,0
5094,21,Medium,8,12.2,1,1,6,Wallet,9,iOS,1,521.75,1
5095,46,Medium,2,8.9,5,0,5,Wallet,32,iOS,7,249.97,0
5096,36,High,9,8.9,11,0,3,UPI,34,Android,9,1194.02,0
5097,60,Low,9,7.3,12,0,7,Wallet,25,iOS,6,483.79,1
5098,19,High,11,7.3,3,0,7,Wallet,27,Android,9,1427.32,0
5099,27,Medium,9,5.8,9,0,1,Debit Card,27,Android,6,842.56,0
5100,60,Medium,7,5.5,10,1,0,Debit Card,2,iOS,2,730.13,1
5101,42,High,9,2.4,6,0,7,Debit Card,22,Android,4,1136.81,1
5102,37,Medium,1,10.1,3,1,6,Credit Card,2,Android,9,339.45,0
5103,65,Low,3,9.7,6,0,9,Wallet,1,iOS,10,334.27,0
5104,36,High,2,6.9,5,0,1,Wallet,40,Android,2,512.51,0
5105,40,Medium,11,11.8,7,0,4,UPI,39,Android,6,877.25,0
5106,41,Medium,1,14.7,6,0,4,Wallet,10,iOS,3,361.92,0
5107,28,High,5,3.5,8,0,6,UPI,12,Android,5,572.84,1
5108,63,Medium,1,9.7,3,0,1,Wallet,37,iOS,8,378.84,0
5109,51,Medium,3,7.9,8,0,8,Wallet,46,Android,2,408.68,1
5110,45,Medium,6,12.8,4,0,8,Credit Card,17,iOS,9,578.39,0
5111,22,Medium,6,6.4,12,0,4,Wallet,3,iOS,6,650.4,0
5112,22,Low,3,11.2,10,0,1,Wallet,21,Android,9,284.3,0
5113,38,Medium,4,10.1,8,0,6,UPI,12,Android,3,543.05,1
5114,29,Low,7,11.5,14,0,3,Credit Card,27,iOS,2,292.81,1
5115,21,Medium,6,5.8,13,0,2,UPI,15,iOS,1,510.27,0
5116,59,High,11,6.8,10,1,6,Credit Card,37,Android,9,1231.68,1
5117,37,Low,2,9.6,3,0,6,UPI,45,iOS,7,184.7,0
5118,55,Low,9,11.4,14,1,0,Debit Card,41,Android,2,518.59,1
5119,42,Low,6,8.7,2,0,6,Wallet,3,Web,2,260.73,0
5120,31,Medium,2,2.3,14,0,9,UPI,5,Android,2,197.15,1
5121,28,High,7,11.6,13,1,4,Wallet,34,Android,1,836.9,1
5122,49,Medium,11,11.9,6,0,6,Credit Card,34,iOS,4,867.19,1
5123,28,Low,11,6.4,3,0,7,UPI,21,Android,5,612.08,0
5124,35,Medium,10,10.6,4,0,9,UPI,13,Android,10,839.35,0
5125,44,Medium,10,9.5,2,0,6,UPI,25,Android,6,879.12,0
5126,35,Medium,4,5.3,5,1,9,Credit Card,14,iOS,2,375.89,0
5127,40,Medium,1,10.7,12,0,1,Credit Card,18,Android,6,176.46,0
5128,28,Low,10,7.9,3,0,3,UPI,45,iOS,3,482.35,0
5129,38,Medium,9,3.9,0,0,5,Credit Card,3,Android,1,749.81,1
5130,61,Low,11,10.7,1,0,8,Wallet,3,Android,8,447.71,0
5131,22,Low,10,14.3,7,1,4,Credit Card,45,Android,10,224.15,0
5132,40,High,8,1.1,14,1,1,Wallet,32,Android,5,766.38,1
5133,58,Medium,5,8.9,3,0,3,Debit Card,46,Android,5,519.73,0
5134,42,Low,3,8.8,11,0,7,UPI,18,Android,7,381.19,0
5135,58,High,4,4.5,14,0,3,Debit Card,32,iOS,1,492.55,1
5136,27,Medium,3,11.1,14,0,7,Credit Card,32,Android,7,373.74,0
5137,39,Low,10,4.7,9,0,3,UPI,36,Web,5,669.07,1
5138,36,Medium,8,8.3,1,0,7,Credit Card,44,Android,7,757.12,0
5139,18,High,5,5.8,12,1,2,Debit Card,29,Android,6,690.99,0
5140,24,Medium,11,4.9,11,0,3,Debit Card,39,Android,1,880.44,1
5141,21,Low,8,9.1,3,1,9,Wallet,37,iOS,3,461.08,1
5142,18,Medium,1,5.9,6,1,8,Debit Card,35,Android,9,256.25,0
5143,32,Medium,9,11.8,10,0,4,Credit Card,27,iOS,2,594.38,1
5144,57,High,11,8.1,1,1,2,UPI,40,Android,7,1286.91,0
5145,29,Low,10,10.6,5,0,2,Wallet,24,Android,6,474.33,0
5146,39,Medium,3,10.4,0,0,3,Wallet,36,iOS,6,403.07,0
5147,39,Low,1,11.6,11,0,1,UPI,35,Android,3,272.09,0
5148,64,Medium,3,7.1,2,0,6,Debit Card,40,Android,6,333.86,0
5149,34,High,2,7.6,8,1,6,UPI,6,iOS,5,466.65,0
5150,46,Low,7,5.3,4,1,8,Wallet,7,Web,7,473.89,0
5151,63,Low,10,8.4,13,1,7,UPI,14,iOS,1,567.16,1
5152,31,Medium,4,5.6,10,0,2,Debit Card,17,Web,1,348.74,0
5153,37,Medium,7,11.4,7,0,4,UPI,27,iOS,9,785.87,0
5154,65,Low,3,5.3,0,0,7,Wallet,42,iOS,4,179.35,0
5155,50,Medium,6,6.7,3,1,7,Debit Card,44,Android,1,705.58,0
5156,60,High,7,9.6,2,1,1,Wallet,6,Web,9,952.48,0
5157,32,Medium,7,9.5,9,0,0,Credit Card,3,Android,3,734.21,1
5158,29,Medium,5,4.6,8,0,4,Credit Card,39,Android,7,479.73,0
5159,57,Medium,6,6.2,14,0,0,Credit Card,35,Android,7,408.76,0
5160,37,High,3,7.1,6,1,6,Debit Card,2,Android,6,416.46,0
5161,47,Low,12,7.5,11,0,7,UPI,19,iOS,4,559.13,1
5162,55,Low,4,8.6,2,1,5,Debit Card,42,Android,7,357.73,0
5163,20,Medium,11,10.3,13,0,2,Credit Card,23,Android,10,940.36,0
5164,45,Medium,6,7.6,0,1,9,UPI,17,Android,6,362.8,0
5165,43,High,3,8.3,12,0,0,UPI,9,Android,1,506.68,0
5166,47,Low,7,5.6,14,0,1,UPI,40,Android,8,541.39,0
5167,30,High,3,12.5,4,0,1,Wallet,9,iOS,1,746.86,0
5168,30,High,9,9.2,9,0,9,UPI,35,Android,10,1318.07,1
5169,19,Medium,4,7.1,2,1,1,Credit Card,9,Android,9,632.08,0
5170,54,Medium,2,11.7,10,0,9,Debit Card,12,iOS,4,309.32,1
5171,55,Low,6,9.1,1,0,4,UPI,3,Android,7,419.99,0
5172,19,Low,9,8.7,2,0,1,UPI,37,iOS,8,579.74,0
5173,53,High,10,8.0,4,0,8,UPI,21,Android,7,1301.25,0
5174,43,Medium,10,11.0,4,0,5,Credit Card,28,Android,7,740.59,0
5175,28,Low,2,12.8,9,0,6,Wallet,33,Android,6,235.11,0
5176,25,Medium,4,11.0,7,1,2,Credit Card,34,Android,8,357.0,0
5177,61,High,5,8.1,3,0,9,Wallet,43,iOS,10,755.11,0
5178,57,Medium,9,12.0,1,0,6,Wallet,22,Web,6,822.63,0
5179,60,Low,7,7.2,7,0,3,Debit Card,37,Android,9,400.86,0
5180,39,Medium,5,5.4,12,0,7,Debit Card,30,Android,1,536.0,1
5181,37,Medium,6,10.4,14,0,8,UPI,31,iOS,10,679.32,0
5182,25,Low,9,12.3,7,0,4,Credit Card,16,Web,5,525.9,0
5183,46,Low,4,8.0,9,0,2,UPI,35,iOS,9,131.0,0
5184,57,Medium,2,12.9,12,0,5,Credit Card,1,Web,5,328.11,0
5185,43,Medium,5,3.6,7,1,2,Wallet,9,Android,7,472.3,0
5186,47,Low,7,7.7,11,1,5,Credit Card,1,iOS,7,371.86,0
5187,34,Low,12,5.4,12,1,6,Debit Card,23,Android,4,523.94,1
5188,37,Low,4,5.4,13,0,5,Wallet,37,Android,10,89.64,0
5189,33,Low,12,7.9,10,0,3,Debit Card,18,Android,3,683.43,1
5190,63,Low,1,13.2,0,0,6,Wallet,4,Android,9,263.69,0
5191,60,Medium,8,12.0,14,0,1,Credit Card,10,Android,5,843.82,0
5192,24,Medium,5,12.2,11,0,4,Wallet,27,Android,5,347.87,0
5193,33,Medium,10,9.3,8,0,5,Wallet,47,iOS,5,736.12,0
5194,62,Medium,2,7.1,3,1,5,UPI,2,Android,1,256.57,0
5195,64,Low,3,9.0,3,1,4,Credit Card,4,Android,8,297.73,0
5196,65,Medium,12,3.8,7,0,9,Credit Card,40,Android,7,875.06,1
5197,44,Low,10,12.6,11,0,4,Credit Card,33,iOS,2,549.11,1
5198,40,Low,12,2.6,7,0,7,Debit Card,41,Android,5,842.77,1
5199,41,Low,10,7.6,5,0,4,Credit Card,8,iOS,2,496.82,0
5200,26,High,5,8.0,3,1,5,Credit Card,15,iOS,3,773.24,0
5201,52,Low,11,10.5,12,0,9,Debit Card,7,Android,10,480.45,1
5202,37,High,4,9.3,2,0,0,Debit Card,46,Android,8,719.46,0
5203,54,Medium,9,9.5,4,0,0,Wallet,30,Android,6,805.75,0
5204,59,Medium,9,0.9,12,1,0,Credit Card,45,Android,4,793.99,1
5205,34,Medium,8,7.5,13,1,3,Credit Card,24,Android,6,674.97,0
5206,64,Low,2,6.1,7,1,2,UPI,20,Android,4,362.17,0
5207,48,Low,5,8.4,6,0,4,Debit Card,5,Android,1,415.21,0
5208,25,High,8,7.6,10,0,6,Credit Card,7,iOS,2,1141.35,1
5209,32,Medium,8,8.7,7,0,5,Debit Card,37,Android,5,583.67,0
5210,48,Low,7,4.4,14,0,2,Debit Card,2,Android,3,431.84,1
5211,47,Low,4,8.3,13,0,1,Wallet,10,Android,4,326.78,0
5212,63,High,3,13.2,11,1,1,Debit Card,13,Android,9,468.4,0
5213,37,High,8,14.4,10,0,2,Credit Card,21,iOS,4,1025.91,1
5214,56,Medium,8,12.1,0,1,9,UPI,3,iOS,9,753.18,0
5215,29,Low,10,2.5,10,1,2,Wallet,14,iOS,7,563.47,1
5216,34,High,5,7.1,12,1,2,Wallet,16,iOS,1,739.31,0
5217,59,Low,3,6.5,3,0,7,Debit Card,8,Android,7,205.07,0
5218,47,Medium,5,8.5,12,0,2,Wallet,24,Android,8,537.9,0
5219,46,Medium,4,12.0,8,1,5,Credit Card,14,Android,10,314.3,0
5220,36,Medium,8,7.9,5,1,8,Wallet,6,Android,6,706.9,0
5221,63,Medium,2,5.2,13,0,7,Credit Card,24,Android,7,271.29,0
5222,28,High,11,11.5,11,0,5,UPI,29,Web,1,1413.42,1
5223,51,Medium,8,9.1,9,1,9,Debit Card,26,Android,10,672.78,1
5224,24,Medium,10,10.3,7,0,4,Debit Card,34,Android,7,704.8,0
5225,61,Low,6,11.0,13,0,4,Wallet,44,Android,6,449.77,0
5226,51,Low,4,7.0,12,0,7,UPI,5,Android,9,318.22,0
5227,37,Low,11,4.5,7,0,6,Debit Card,34,iOS,8,511.08,1
5228,55,Medium,3,8.7,4,1,4,Debit Card,42,iOS,1,349.33,0
5229,41,Medium,10,7.0,10,0,9,Credit Card,34,iOS,7,742.15,1
5230,27,Low,5,8.2,7,1,5,Credit Card,13,Android,8,427.88,0
5231,49,Low,6,12.3,3,0,4,Credit Card,3,Android,6,358.73,0
5232,32,Low,1,8.6,5,1,8,Credit Card,5,iOS,2,289.45,0
5233,54,Medium,1,13.5,6,1,5,Wallet,22,iOS,4,307.5,0
5234,37,Medium,11,8.9,5,0,2,Wallet,21,iOS,6,960.5,0
5235,20,Medium,10,7.1,5,1,2,Credit Card,27,Android,3,808.42,0
5236,54,Medium,3,4.2,14,0,9,UPI,24,iOS,8,205.22,1
5237,57,Medium,2,8.7,7,1,9,Wallet,39,iOS,6,395.31,0
5238,25,Medium,12,5.3,13,0,3,Credit Card,8,iOS,1,898.06,1
5239,57,Low,1,9.6,14,0,4,Credit Card,4,iOS,2,201.14,0
5240,61,Medium,11,7.7,4,0,8,UPI,36,iOS,5,1084.8,0
5241,40,Medium,8,7.6,7,0,9,UPI,6,iOS,9,788.01,0
5242,57,Low,12,8.3,8,0,1,UPI,31,iOS,1,595.01,1
5243,28,High,1,8.7,11,0,1,Debit Card,5,iOS,3,273.26,0
5244,63,Medium,10,7.9,3,0,0,Debit Card,44,Android,2,816.07,0
5245,25,Medium,8,14.4,14,0,7,UPI,6,Android,8,457.75,1
5246,46,Medium,5,5.7,2,0,0,Wallet,2,Android,3,604.85,0
5247,47,Low,4,11.1,4,0,5,Wallet,1,iOS,4,234.79,0
5248,27,Low,8,11.8,12,0,1,Credit Card,29,Web,2,304.5,1
5249,56,Medium,8,4.7,9,0,8,Credit Card,23,Android,6,576.14,1
5250,45,Low,11,8.2,9,0,3,UPI,46,Android,7,481.05,0
5251,53,Low,8,9.1,11,1,9,Debit Card,43,Android,9,480.78,1
5252,30,High,3,8.5,4,0,4,Credit Card,18,iOS,1,501.16,0
5253,49,Medium,12,8.4,13,0,1,Wallet,3,Android,2,830.48,1
5254,53,Low,8,9.9,6,1,4,Credit Card,16,iOS,2,372.55,0
5255,54,Low,1,1.7,2,0,6,Wallet,36,Android,5,108.47,0
5256,43,Medium,4,7.7,12,0,4,UPI,31,Android,3,516.02,0
5257,39,Low,5,6.7,10,0,0,Debit Card,22,Android,6,431.13,0
5258,21,Low,6,5.8,9,0,8,Debit Card,8,Android,10,525.73,0
5259,48,Medium,5,10.6,13,1,1,Wallet,22,Android,7,490.3,0
5260,35,Low,5,11.1,8,0,3,Credit Card,13,Android,4,365.8,0
5261,55,Medium,5,11.4,13,1,5,UPI,38,Web,6,543.9,0
5262,41,Medium,9,10.6,12,0,0,Credit Card,29,Android,4,814.03,1
5263,40,Low,10,4.4,5,1,8,Wallet,16,iOS,9,323.2,1
5264,39,Low,10,8.4,13,1,8,Credit Card,10,Android,7,449.27,1
5265,19,Medium,3,11.3,9,0,7,Wallet,46,Android,7,344.92,0
5266,48,Medium,2,0.4,8,0,8,UPI,34,Web,1,164.76,1
5267,28,Low,10,12.9,0,0,3,Debit Card,33,Android,4,611.3,0
5268,45,Low,2,4.2,1,0,8,UPI,14,Android,6,98.5,0
5269,63,High,8,5.3,9,0,3,Wallet,32,Android,10,859.66,0
5270,49,Low,5,10.3,1,1,4,Wallet,23,iOS,8,300.0,0
5271,22,High,5,13.8,10,0,5,Debit Card,15,Android,9,673.17,0
5272,55,Low,6,5.2,7,1,6,Wallet,25,iOS,3,518.54,0
5273,27,Low,9,5.6,3,0,2,UPI,26,Android,4,671.97,0
5274,57,Medium,7,11.8,6,0,1,UPI,12,Web,1,638.86,0
5275,63,Low,5,8.5,3,1,4,Debit Card,19,iOS,8,280.87,0
5276,41,Low,5,7.3,3,0,9,Wallet,47,Android,1,231.48,0
5277,52,Low,10,8.6,7,0,2,Wallet,40,iOS,5,562.74,0
5278,61,High,9,14.6,13,0,2,UPI,19,Android,9,980.37,0
5279,65,Medium,9,10.3,10,1,6,Wallet,32,iOS,5,711.99,1
5280,40,Medium,2,9.1,9,0,5,Wallet,10,Android,7,426.71,0
5281,34,Medium,7,9.7,3,1,2,UPI,27,Android,7,676.97,0
5282,18,Medium,10,9.2,2,0,6,Wallet,23,Android,5,729.65,0
5283,48,Medium,1,10.7,10,1,9,Debit Card,41,Android,3,332.06,1
5284,48,Low,4,6.1,9,0,9,UPI,18,Android,10,251.26,0
5285,59,Low,2,7.8,8,0,5,UPI,35,Web,9,391.54,0
5286,59,Low,10,7.9,2,0,0,Debit Card,13,Android,3,427.4,0
5287,51,Low,9,5.2,4,1,4,Debit Card,2,Android,7,588.66,0
5288,26,Low,12,4.7,10,1,3,Credit Card,36,Android,8,478.41,1
5289,39,Low,6,12.2,0,0,2,Debit Card,22,Android,6,465.75,0
5290,30,High,4,10.1,8,0,2,UPI,20,Android,7,660.96,0
5291,42,High,3,13.3,5,0,7,Debit Card,7,Android,9,430.47,0
5292,65,Low,4,9.5,4,0,2,Wallet,12,iOS,2,506.74,0
5293,35,Low,2,9.0,3,0,1,Wallet,15,Android,7,122.82,0
5294,29,Low,5,7.4,7,0,4,Debit Card,29,Android,3,317.38,0
5295,57,Low,9,11.0,10,0,9,UPI,8,iOS,3,370.26,1
5296,34,Low,6,4.2,1,0,2,Wallet,23,Android,1,409.47,0
5297,32,High,2,8.9,13,0,9,Debit Card,13,Android,10,430.24,0
5298,59,Low,6,10.8,9,0,2,UPI,33,iOS,4,276.82,0
5299,32,Low,9,7.7,4,0,7,Credit Card,5,iOS,5,464.27,0
5300,32,Low,4,9.3,7,0,8,Wallet,19,Android,10,467.31,0
5301,56,High,1,12.8,0,1,1,Credit Card,7,Android,10,352.67,0
5302,30,High,2,7.3,11,1,0,Wallet,4,Android,9,562.8,0
5303,34,Medium,5,9.3,2,1,7,UPI,37,Web,3,539.45,0
5304,49,Medium,10,11.1,6,0,9,Credit Card,9,iOS,5,651.78,0
5305,26,Low,7,7.0,10,1,9,Debit Card,19,Android,7,319.12,1
5306,57,Low,8,4.8,14,0,5,UPI,25,iOS,6,442.65,1
5307,37,Medium,3,10.2,10,0,8,Credit Card,1,Android,1,283.0,1
5308,43,Medium,9,8.3,9,0,0,Wallet,43,Android,10,751.93,0
5309,44,Low,2,7.9,11,0,4,Debit Card,4,Android,1,365.48,0
5310,38,Low,4,8.5,4,1,4,Debit Card,18,Web,7,452.39,0
5311,35,Medium,4,4.5,9,1,2,Credit Card,7,Android,5,434.25,0
5312,30,Low,6,7.3,8,1,1,Debit Card,19,Android,1,305.45,0
5313,33,Medium,10,10.1,11,0,8,Credit Card,23,Android,3,890.85,1
5314,26,Medium,6,8.0,13,1,6,Wallet,28,Android,4,623.8,1
5315,29,Low,3,6.5,0,0,8,Debit Card,29,iOS,6,286.2,0
5316,61,Medium,9,5.8,10,0,2,Wallet,6,Android,6,686.03,0
5317,55,High,11,8.8,13,0,0,Debit Card,44,Android,6,1113.14,0
5318,36,Low,5,10.5,6,0,1,Wallet,27,Android,10,381.75,0
5319,24,Low,2,11.1,9,0,5,Debit Card,46,Android,10,299.84,0
5320,52,Low,6,6.3,11,0,5,UPI,4,Android,8,606.38,0
5321,65,Medium,3,12.9,5,0,1,Debit Card,23,Web,2,342.93,0
5322,35,High,8,8.3,9,1,8,Wallet,30,Web,4,1032.67,1
5323,33,Medium,3,3.1,3,1,9,UPI,45,Web,3,409.1,1
5324,56,Low,5,8.4,10,0,0,Wallet,24,Android,1,448.08,0
5325,21,High,4,5.0,11,1,3,Credit Card,32,Android,10,685.64,0
5326,42,Medium,4,9.2,10,1,3,Credit Card,11,iOS,6,587.93,0
5327,49,Medium,2,8.8,9,0,0,UPI,30,Android,2,369.73,0
5328,57,Low,8,3.4,9,1,4,Credit Card,26,Android,6,494.88,1
5329,30,Low,3,12.3,5,1,5,UPI,16,iOS,3,408.01,0
5330,62,Medium,4,6.1,9,1,8,UPI,43,Android,10,464.94,0
5331,34,Medium,6,2.5,10,0,7,Debit Card,6,iOS,9,561.8,1
5332,54,Medium,9,11.8,8,0,3,UPI,25,Android,5,889.73,0
5333,23,Low,12,9.8,8,0,5,Wallet,20,Android,5,674.48,0
5334,36,Medium,4,7.2,11,1,6,UPI,10,iOS,9,395.32,0
5335,30,High,3,8.1,1,1,5,Wallet,39,Android,8,485.66,0
5336,43,High,5,7.7,13,0,4,Credit Card,46,Android,6,709.41,0
5337,31,Low,9,3.2,8,1,0,Credit Card,1,iOS,6,548.04,1
5338,48,Medium,1,3.8,12,0,6,Debit Card,44,iOS,6,205.74,1
5339,21,Medium,5,10.9,1,0,6,Debit Card,11,Android,9,324.35,0
5340,56,High,11,9.2,5,0,4,Credit Card,12,iOS,2,1381.75,0
5341,25,Medium,4,10.7,12,1,8,Debit Card,20,iOS,2,416.84,1
5342,42,High,5,11.6,6,0,2,Debit Card,12,iOS,10,581.95,0
5343,30,High,7,-1.9,13,1,0,Debit Card,44,Web,2,753.61,1
5344,49,Low,7,6.8,8,0,4,Credit Card,16,iOS,3,537.06,1
5345,55,Medium,7,4.5,10,0,3,Debit Card,15,iOS,10,743.27,1
5346,55,Medium,1,7.6,12,1,5,UPI,26,Android,5,299.97,0
5347,45,Low,9,2.4,5,0,1,Credit Card,11,Android,1,426.68,1
5348,47,Low,7,9.8,12,0,4,Wallet,3,Android,7,385.8,0
5349,20,Low,4,10.0,7,0,7,UPI,2,Android,7,264.98,0
5350,45,Medium,4,14.8,9,0,7,Wallet,44,Android,6,372.93,0
5351,20,Low,2,7.7,14,0,1,Credit Card,19,iOS,4,234.5,0
5352,62,High,6,10.0,11,0,2,Wallet,32,Android,5,699.51,0
5353,51,Medium,12,10.9,2,0,8,Debit Card,23,iOS,2,815.9,1
5354,33,Medium,10,13.2,9,1,6,Wallet,44,Android,4,644.79,1
5355,39,Low,3,4.6,5,0,8,UPI,24,Android,5,160.01,0
5356,49,Medium,1,10.7,1,1,3,Credit Card,13,Android,5,187.65,0
5357,55,Medium,5,9.2,14,0,6,Credit Card,1,iOS,7,372.03,0
5358,25,Low,6,3.1,0,1,6,UPI,39,Android,1,449.76,1
5359,25,High,11,9.4,11,0,6,Credit Card,5,iOS,9,1280.02,1
5360,23,Medium,5,10.2,5,0,9,Wallet,43,Android,2,547.53,0
5361,31,Low,5,2.9,11,1,4,Wallet,13,iOS,1,324.53,1
5362,49,High,12,7.8,2,0,5,UPI,37,Web,7,1345.2,0
5363,52,Low,10,8.2,10,0,3,Wallet,8,Android,8,600.97,0
5364,27,Medium,11,8.1,11,1,8,Wallet,40,Android,6,801.82,1
5365,20,Medium,8,9.9,4,0,3,Credit Card,30,iOS,2,615.41,0
5366,29,Low,10,6.2,5,1,8,UPI,44,iOS,4,556.11,1
5367,48,Medium,1,4.7,12,0,8,Debit Card,28,Android,8,238.18,1
5368,46,Medium,8,9.5,9,0,4,UPI,29,iOS,10,743.23,0
5369,22,Medium,11,12.7,5,1,8,Debit Card,36,Android,4,823.11,1
5370,42,Low,7,12.5,11,0,8,Debit Card,20,iOS,4,238.82,1
5371,58,Low,1,15.2,9,0,2,Debit Card,5,iOS,1,182.35,0
5372,48,Low,9,6.9,12,0,2,UPI,7,Web,2,552.96,1
5373,38,High,12,7.5,6,0,3,Debit Card,30,Android,10,1264.31,0
5374,37,Low,4,1.5,14,0,7,Credit Card,38,iOS,3,297.5,1
5375,56,Medium,7,6.2,6,0,2,Wallet,7,Android,10,441.99,0
5376,39,High,3,3.3,10,1,1,UPI,11,iOS,6,497.69,0
5377,21,Medium,8,7.0,5,0,5,UPI,11,Android,5,714.22,0
5378,30,High,4,12.1,11,1,2,UPI,20,Android,3,530.93,0
5379,62,High,2,11.2,0,0,8,Credit Card,33,iOS,3,448.4,0
5380,59,Medium,2,7.0,7,0,9,Wallet,15,Android,3,103.35,0
5381,37,Low,8,6.3,9,0,8,UPI,4,iOS,10,654.21,1
5382,30,Low,8,5.6,13,1,9,Debit Card,10,Android,8,567.89,1
5383,34,Low,1,10.6,3,0,5,Credit Card,38,iOS,10,305.68,0
5384,53,Medium,6,7.1,0,1,4,Debit Card,40,iOS,9,654.08,0
5385,50,Low,9,8.8,9,1,1,UPI,3,iOS,10,540.3,0
5386,18,Medium,9,10.0,12,1,7,Debit Card,24,iOS,1,798.44,1
5387,32,Low,2,10.2,1,0,2,Wallet,2,Android,1,389.43,0
5388,30,Low,8,-0.4,2,0,4,Wallet,23,Android,5,393.78,0
5389,34,Medium,8,9.7,5,1,9,Debit Card,42,Android,5,572.21,0
5390,41,Low,4,8.3,1,1,3,Credit Card,19,Android,3,138.54,0
